"","CamargoCruz09-NB","Amasaki15-NB","Peters15-NB","EASC_E","EASC_NE","SC","CLA","FCM","ManualDown","ManualUp","Bellwether"
"1",0.337229343292957,0.259344735991379,0.214412167380241,7.06979950412494,0.157016365955095,1.27495709391639,0.719747274631953,0.525405675189314,0.157016365955095,10.4458823175026,0.64357981543772
"2",0.631345211946238,0.644202034571678,0.669660788274088,3.45349451700652,0.62632420832402,7.67278330077141,1.82908145305922,4.9958505901139,0.62632420832402,35.646668453641,1.81475332232852
"3",0.808477733324935,0.74692171598858,0.519339764948541,16.1628745404002,0.0942213567259002,0.764357183531042,1.28544473843835,12.6028999290216,0.0942213567259002,4.42196696893819,1.31754273944931
"4",0.304106231162793,0.424562000676179,0.443579874327598,12.7810153420301,0.316666042864698,1.35192476869839,0.929099058356795,0.734495060207869,0.30837095559405,11.5036803621738,1.11179441756488
"5",0.819869985406752,0.775985837359865,0.748273520438624,12.9755544330283,0.579869250223985,0.782985682151212,0.437312988195127,4.92714210120843,0.572575838656947,11.6169706434805,1.10517227898564
"6",0.19754963579466,0.187051092874187,0.511002455411849,0.329572825865476,0.302795607456126,0.298045473215952,0.483336536669663,0.744707729197646,0.327012173720745,0.315605563557003,0.736268000545832
"7",0.236855996452946,0.23257217599755,0.453685072569802,0.430639592556669,0.0137098985467508,0.33587367647141,0.375214267226645,0.611530328402333,0,19.2777780809155,0.110185302653626
"8",0.233681951452093,0.2309439389901,0.250205804788422,0.778462479280765,0.116778143069334,0.401821732672885,0.370101958741287,0.620528035614636,0.0856069679298241,0.630655209065063,0.0704209227756659
"9",0.759482929371031,0.757722530222164,0.622337714914731,2.09329092718638,0.234947575423365,0.98123916581872,0.537678155180446,0.745360641103423,0.201127279078102,1.00914388098493,0.668248761363089
"10",0.536282239286658,0.539309805040079,0.473975121477816,0.814539585999023,0.375719178114735,0.498107166197391,0.722840103952895,0.787079814704563,0.356303561857736,1.52599060809623,0.355777202248764
"11",0.074536237260381,0.074536237260381,0.125732265941533,0.270375835536659,0.252262426361131,0.580353062423994,0.110957718309193,0.306135015296487,0.252262426361131,8.28898964744351,0
"12",0.168804861580013,0.168804861580013,0.168804861580013,1.34346471215616,0.168804861580013,0.168804861580013,1.20627261761158,0.248756218905473,0.168804861580013,0.131947035800346,0.880334048844864
"13",0.423517723125343,0.429490252263109,0.342494454254894,84.169915088809,0.208699568355673,0.0963565483695424,0.144302661034662,0.404165240043736,0.184970376851078,4.82672200109456,0
"14",1.41877108154116,1.43390852202211,1.13119403631163,13.1635022072335,0.966143495208749,0.850096443371201,1.59390583190405,4.7903129625746,0.933393196788451,44.5915651042859,1.11528083413105
"15",0.809053513488033,0.810823693282286,0.692696939998847,4.04290638087612,0.43429441355779,0.552982100663717,0.652838656364296,2.71499407236745,0.508915276917718,15.9604334150272,0.768436347073708
"16",0.726977511960426,0.726550432960102,0.701561958063475,3.39157495717211,0.495349220303393,0.575261738775114,0.634483372058532,4.25122762332467,0.46832695699575,15.6609089858244,0.814030610686115
