"","Bellwether","EASC_E","EASC_NE","SC","CLA","FCM","ManualDown","ManualUp"
"22",1.04484831650166,0.850710329548602,0.731908470788372,0.83615837696335,0.776321783163435,0.969792587447909,0.860345436010037,18.8615329512894
"23",0.955392862577103,0.561399283892816,0.551776461608467,0.618288448738013,1.06320311118968,0.154653908736159,0.563856911445219,3.15078841217455
"24",0.887178151852589,0.989844485528298,0.617520741257657,0.712586213423174,1.15776063444729,0.238801071943929,0.638291166557997,5.71778874629813
"25",0.936249804942976,1.57144993388735,0.761341990050234,0.767707991435644,1.15932403624426,0.237452481558127,0.684327480517809,3.49469815434134
"26",0.934798562884746,1.63812246352967,0.887558455623933,1.00147634419085,1.32202541763744,0.303080829604376,0.863630859658526,2.47625058031569
"27",1.2260104015295,0.777892387254174,0.687575642052803,0.55341544924001,1.29712111241208,3.23884443021768,0.788359699038783,95.4429902134184
"28",0.417653167185878,0.575393419170245,0.431082529474814,0,0,0,0.371787761138843,7.36630036630036
"29",0.943311153913501,0.986659396280448,0.88249115676207,1.1802497535327,1.13535300316122,0.799884399806979,0.832570269487106,5.41704374057314
"30",1.08837158522975,1.09382457707816,1.08171499550263,1.09959954285995,1.16757126610017,1.0094883193422,0.783082055122357,7.69806949806951
"31",0.381423780036399,0.558239610660359,0.391454442209964,1.25169671850104,0.427316902507742,0.513654007399409,0.348901024927924,18.3248651312377
"32",0.745101663585953,0.649315982649317,0.579227002812794,1.20066445182725,0.617032569360676,0.567578603511638,0.539349751228213,8.29850746268657
"33",0.584512981849267,0.498416717398122,0.44068184338953,0.615049945156526,0.646807698200657,0.721187800631997,0.399310988064777,16.6276940782591
"34",0.492920702774946,0.478789295724328,0.439348701717517,0.713274216534362,0.56240317182845,0.568316306515867,0.393907982846771,18.4128582699613
"35",0.913060179257364,1.05176991150443,0.832574430823118,1.90668449197861,0.960404040404041,0.998739495798319,0.998739495798319,0
"36",0.313738738738739,0.263389269676199,0.301254325259516,0.307641342756184,0.307573415765069,0.348685857321652,0.298478680094279,64.2923076923076
"37",0.62525837122778,0.420255626562934,0.627697543160691,0.652783772119119,0.587911376004146,0.411956965817786,0.613241972105092,0
"38",0.664178712220762,0.655258245177349,0.633383458646617,0.310162002945509,0.664178712220762,0.229037520391517,0.600285035629454,0
"39",0.525016872091784,0.571288150267382,0.521520867305175,0.735931993015304,0.590272549808271,0.702882178763981,0.477147045491152,8.18971631205672
"40",1.18576836024604,0.637539812584119,0.588085093986468,0.60712700283539,0.667055664936459,0.931706006974255,0.643596364344715,6.16686155543299
"41",0.57103546628107,0.384326254725237,0.392168726736226,0.675036759399582,0.497051673347658,0.370790657605054,0.391954090718626,6.36082068936205
"42",0.662436387659213,0.43143982579208,0.415624297267927,0.975113211664026,0.601379198492924,0.344088066452122,0.41295995320529,6.10550039004276
