"","community","source","target","tp","fp","tn","fn","f1","g1","pf","pci","pii","recall","mcc","ifa","ifap","mdd","ifap2","ifa_pii","ifa_pci","ifap3","roi","roi2","roi3","cutoff"
"1","AEEEM","AEEEM-eclipse","AEEEM-eclipse_wholeProject.csv","13","3","788","193","0.117117117117117","0.118694637074115","0.00379266750948167","0.0979402378880186","0.0160481444332999","0.0631067961165049","0.191110923625871","0","0","0.683724129930117","0","0","0","0",3.93234223300971,1.10724961318628,1.59178036214965,10
"2","AEEEM","AEEEM-equinox","AEEEM-equinox_wholeProject.csv","8","4","191","121","0.113475177304965","0.116645673498988","0.0205128205128205","0.0876460767946578","0.037037037037037","0.062015503875969","0.107577244945707","3","0.000157154928996888","1.51407920427246","0.0131159957954616","0.00925925925925926","0.0169727323316639","0.0125361449017187",1.67441860465116,0.994769892572325,1.08846863302424,10
"3","AEEEM","AEEEM-lucene","AEEEM-lucene_wholeProject.csv","8","25","602","56","0.164948453608247","0.221201543266581","0.0398724082934609","0.0758772409269786","0.0477568740955137","0.125","0.115724200178808","1","5.24024610252247e-06","1.55786839859143","0.00253409402986869","0.00144717800289436","0.00362101005684303","0.00228915838301382",2.61742424242425,2.02209560002527,2.07652087551771,10
"4","AEEEM","AEEEM-mylyn","AEEEM-mylyn_wholeProject.csv","18","11","1606","227","0.131386861313869","0.136817992503124","0.00680272108843537","0.0967956848727114","0.0155746509129968","0.073469387755102","0.181997977436313","2","7.64462014639386e-06","1.27769447764506","0.00409562760618071","0.00107411385606874","0.00711714135629268","0.00276489062105427",4.71724137931034,1.30762958464784,1.89220968755091,10
"5","AEEEM","AEEEM-pde","AEEEM-pde_wholeProject.csv","18","10","1278","191","0.151898734177215","0.158491969988219","0.0077639751552795","0.0979367412488432","0.0187040748162993","0.0861244019138756","0.20046472083504","0","0","1.20604076909178","0","0","0","0",4.60457963089541,1.47674553075445,2.01226548866906,10
"6","ALLJURECZKO","ALLJURECZKO-ant-1.3","ALLJURECZKO-ant-1.3_wholeProject.csv","2","4","101","18","0.153846153846154","0.181165919282511","0.0380952380952381","0.0932120215390329","0.048","0.1","0.106165790802505","1","8.38218520385156e-05","0.700380964441843","0.00923886575240723","0.008","0.0104777315048145","0.00915542746345115",2.08333333333333,1.41631001256304,1.49500766005516,10
"7","ALLJURECZKO","ALLJURECZKO-ant-1.4","ALLJURECZKO-ant-1.4_wholeProject.csv","1","5","133","39","0.0434782608695652","0.0487358006595823","0.036231884057971","0.0757265430390257","0.0337078651685393","0.025","-0.0259765997036742","4","0.00124726461145821","0.0851979094636299","0.0389875926611249","0.0224719101123595","0.0555032752098902","0.0353166336371151",0.741666666666667,0.456894689878202,0.494823502361477,10
"8","ALLJURECZKO","ALLJURECZKO-ant-1.5","ALLJURECZKO-ant-1.5_wholeProject.csv","0","11","250","32","0","0","0.0421455938697318","0.0804737670453893","0.037542662116041","0","-0.0691554678748604","11","0.00302119944539004","0","0.0590082145807151","0.037542662116041","0.0804737670453893","0.0549654386445705",0,0,0,10
"9","ALLJURECZKO","ALLJURECZKO-ant-1.6","ALLJURECZKO-ant-1.6_wholeProject.csv","7","4","255","85","0.135922330097087","0.141257468444585","0.0154440154440154","0.0917030182081486","0.0313390313390313","0.0760869565217391","0.153069354328602","2","4.46296651019114e-05","0.591615304568383","0.00676525596169557","0.0056980056980057","0.00783250622538544","0.00668054377292084",2.42786561264822,1.23676347723002,1.41930461014715,10
"10","ALLJURECZKO","ALLJURECZKO-ant-1.7","ALLJURECZKO-ant-1.7_wholeProject.csv","9","12","567","157","0.0962566844919786","0.102745311225877","0.0207253886010363","0.0984074036797937","0.0281879194630872","0.0542168674698795","0.0842071018128048","5","0.000146770768087808","0.223757126244512","0.0142901269205283","0.00671140939597315","0.0218688444450835","0.0121148985999805",1.92340791738382,0.856538237335798,1.02941151866365,10
