Test,Scenario,Model,tp,fp,tn,fn,SNM_precision,SNM_recall,SNM_fscore,SNM_fpr,SNM_ifa,SNM_ap,SNM_rr,SNM_cr,SNM_roi,SNM_mcc,SNM_ifap,SNM_cr_ifa,SNM_pii_ifa,tp20,fp20,tn20,fn20,SSC_precision,SSC_recall,SSC_fscore,SSC_fpr,SSC_ifa,SSC_ap,SSC_rr,SSC_pii,SSC_roi,SSC_mcc,SSC_ifap,SSC_cr_ifa,SSC_pii_ifa,SSC_rcr
NETGENE-httpclient,cpdp,CLA,60,15,40,36,0.8,0.625,0.701754386,0.272727273,2,0.699868525,0.333333333,0.714349561,0.874921795,0.339045945,1.99e-05,0.001500399,0.013245033,25,7,48,71,0.78125,0.260416667,0.390625,0.127272727,2,0.612018074,0.333333333,0.21192053,1.284506512,0.156779723,1.99e-05,0.001500399,0.013245033,0.956664006
NETGENE-jackrabbit,cpdp,CLA,98,51,104,36,0.657718121,0.731343284,0.692579505,0.329032258,0,0.732253504,1,0.833637481,0.877291749,0.401442206,0,0,0,56,17,138,78,0.767123288,0.417910448,0.541062802,0.109677419,0,0.713023844,1,0.252595156,1.682935034,0.353760318,0,0,0,0.983084525
NETGENE-lucene,cpdp,CLA,134,273,418,75,0.329238329,0.641148325,0.435064935,0.395079595,62,0.266293889,0.015873016,0.412307254,1.555025578,0.208760309,0.00309979,0.04499695,0.068888889,82,176,515,127,0.317829457,0.392344498,0.35117773,0.254703329,62,0.237518539,0.015873016,0.286666667,1.371248568,0.12852368,0.00309979,0.04499695,0.068888889,0.998100292
NETGENE-rhino,cpdp,CLA,63,16,84,18,0.797468354,0.777777778,0.7875,0.16,4,0.625604238,0.2,0.853995454,0.910751661,0.61938568,0.000161,0.007285656,0.022099448,21,13,87,60,0.617647059,0.259259259,0.365217391,0.13,4,0.504720878,0.2,0.187845304,1.443661047,0.164553092,0.000161,0.007285656,0.022099448,0.95602378
