Test,Scenario,Model,tp,fp,tn,fn,SNM_precision,SNM_recall,SNM_fscore,SNM_fpr,SNM_ifa,SNM_ap,SNM_rr,SNM_cr,SNM_roi,SNM_mcc,SNM_ifap,SNM_cr_ifa,SNM_pii_ifa,tp20,fp20,tn20,fn20,SSC_precision,SSC_recall,SSC_fscore,SSC_fpr,SSC_ifa,SSC_ap,SSC_rr,SSC_pii,SSC_roi,SSC_mcc,SSC_ifap,SSC_cr_ifa,SSC_pii_ifa,SSC_rcr
AEEEM-eclipse,cpdp,CLA,154,285,506,52,0.350797267,0.747572816,0.47751938,0.360303413,0,0.186105268,1,0.864037848,0.865208413,0.315853488,0,0,0,62,234,557,144,0.209459459,0.300970874,0.247011952,0.295828066,0,0.141902352,1,0.296890672,1.020254747,0.004557402,0,0,0,0.993617639
AEEEM-equinox,cpdp,CLA,106,56,139,23,0.654320988,0.821705426,0.728522337,0.287179487,2,0.616867248,0.333333333,0.875550159,0.938501829,0.523318312,0,0,0.00617284,63,41,154,66,0.605769231,0.488372093,0.540772532,0.21025641,2,0.616419873,0.333333333,0.320987654,1.533257013,0.291614846,0,0,0.00617284,0.992310416
AEEEM-lucene,cpdp,CLA,48,226,401,16,0.175182482,0.75,0.284023669,0.360446571,1,0.165557171,0.5,0.491992785,1.524412598,0.230859356,7.91e-08,5.47e-05,0.001447178,29,190,437,35,0.132420091,0.453125,0.204946996,0.303030303,1,0.169188303,0.5,0.316931983,1.430583275,0.093518181,7.91e-08,5.47e-05,0.001447178,0.999398776
AEEEM-mylyn,cpdp,CLA,139,569,1048,106,0.196327684,0.567346939,0.291710388,0.351886209,12,0.106063889,0.076923077,0.754513075,0.751937849,0.150032949,7.14e-06,0.00110825,0.006444683,54,401,1216,191,0.118681319,0.220408163,0.154285714,0.247990105,12,0.081191872,0.076923077,0.244360902,0.903755404,-0.021697522,7.14e-06,0.00110825,0.006444683,0.998033337
AEEEM-pde,cpdp,CLA,147,483,805,62,0.233333333,0.703349282,0.350417163,0.375,7,0.14952142,0.125,0.774620284,0.907992337,0.230508701,4.74e-06,0.001013937,0.004676019,53,292,996,156,0.153623188,0.253588517,0.19133574,0.226708075,7,0.11076088,0.125,0.230460922,1.10130543,0.022122372,4.74e-06,0.001013937,0.004676019,0.999135772
